category,name,distance_or_time,source,usage
Schools,Chaman Bhartiya School,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Schools,New Horizon International School,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Schools,"National Public School, North",Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Schools,VIBGYOR – Jakkur,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Schools,"DPS, Bangalore North",Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Malls/Retail,Bhartiya Mall of Bengaluru,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Malls/Retail,Decathlon,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Malls/Retail,Elements Mall,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Malls/Retail,"D Mart, Hennur",Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Malls/Retail,Phoenix Mall Of Asia,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Hotels,The Leela Bhartiya City,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Hotels,"Hilton, Embassy Manyata Business Park",Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Hotels,Courtyard by Marriott,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Hotels,Four Seasons Hotel,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Tech Parks,"BCIT, Bhartiya City",Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Tech Parks,Manyata Tech Park,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Tech Parks,L&T Tech Park,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Tech Parks,Brigade Opus,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Tech Parks,Brigade Magnum,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Hospitals,REGAL Kidney and Multi Specialty Hospital,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Hospitals,Prolife Multi Speciality Hospital,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Hospitals,Cytecare Cancer Hospitals,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Hospitals,Motherhood Hospital,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Hospitals,Aster CMI Hospital,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Travel,Thanisandra Main Road,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Travel,Nagawara Metro Station,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Travel,Yelahanka Junction,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Travel,Kempegowda International Airport,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Travel,Central Bengaluru District,Verify exact distance before publishing,Official Nikoo Homes 8 page,Location advantage section
Nearby references,Bellahalli Cross,700 m,Housiey,Short location strip; verify before launch
Nearby references,Bhartiya City,2.1 km,Housiey,Short location strip; verify before launch
Nearby references,REVA University,2.8 km,Housiey,Short location strip; verify before launch
