category,amenity,priority,source,website_usage
Garden master plan / official landscape vocabulary,The Quiet Trail,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Community Garden,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Children’s Play Area,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Linear Garden,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Meditation Garden,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,BBQ Pit,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Organic Kitchen,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Aroma Garden,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Sensory Garden,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Villa Pathway / Planted,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,The Living Canopy,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Terraced Landscape,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,The Central Spine,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Black Swan Club and Swimming Pool,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Wild Flower Garden,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Community Seating,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Wildlife Garden,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,The Circle of Life,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Woodland Seating,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Tennis Court,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Feature Wall,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Garden master plan / official landscape vocabulary,Entrance Island,High,Official Nikoo Homes 8 page,Use for unique storytelling and master-plan section
Lifestyle amenities,"45,000 sq ft clubhouse",Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Gymnasium,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Swimming pool,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Indoor games room,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Workspaces,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Jogging / skating track,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Multiple sports courts,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Meditation / yoga deck,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Landscaped gardens,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Kids play area,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Party area,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Lifestyle amenities,Retail spaces,Medium,Homz N Space,"Use in amenities grid, with simple icons"
Specification / additional amenities,Vitrified tiles,Medium,Housiey,Use in specs or amenities list
Specification / additional amenities,Granite kitchen platform,Medium,Housiey,Use in specs or amenities list
Specification / additional amenities,Stainless steel sink,Medium,Housiey,Use in specs or amenities list
Specification / additional amenities,Branded fittings,Medium,Housiey,Use in specs or amenities list
Specification / additional amenities,Tennis court,Medium,Housiey,Use in specs or amenities list
Specification / additional amenities,Basketball court,Medium,Housiey,Use in specs or amenities list
Specification / additional amenities,Multi-purpose court,Medium,Housiey,Use in specs or amenities list
